filename,frame,id,bushnumber,rownumber,latitude,longitude,berrycount
frame0420_id0842_lat39.616965_lng-74.894909,420,842,8,2,39.616965,-74.894909,0
frame0470_id0855_lat39.616975_lng-74.894895,470,855,9,2,39.616975,-74.894895,10
frame0510_id0847_lat39.616984_lng-74.894883,510,847,10,2,39.616984,-74.894883,1
frame0570_id0854_lat39.616996_lng-74.894864,570,854,11,2,39.616996,-74.894864,4
frame0600_id0866_lat39.617003_lng-74.894856,600,866,12,2,39.617003,-74.894856,2
frame0660_id0874_lat39.617015_lng-74.894840,660,874,13,2,39.617015,-74.89484,1
frame0770_id0892_lat39.617038_lng-74.894805,770,892,14,2,39.617038,-74.894805,7
frame0880_id0904_lat39.617061_lng-74.894774,880,904,15,2,39.617061,-74.894774,0
frame0920_id0906_lat39.617069_lng-74.894763,920,906,16,2,39.617069,-74.894763,0
frame0950_id0909_lat39.617075_lng-74.894756,950,909,17,2,39.617075,-74.894756,0
frame0980_id0911_lat39.617081_lng-74.894746,980,911,18,2,39.617081,-74.894746,0
frame1000_id0916_lat39.617085_lng-74.894740,1000,916,19,2,39.617085,-74.89474,0
frame1040_id0918_lat39.617093_lng-74.894729,1040,918,20,2,39.617093,-74.894729,0
frame1070_id0920_lat39.617099_lng-74.894720,1070,920,21,2,39.617099,-74.89472,7
frame1110_id0925_lat39.617106_lng-74.894709,1110,925,22,2,39.617106,-74.894709,3
